"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"Horn - Success","","Horn & Lights","","<p>User is on the Home screen</p><p>User has sent a FlashLightsHorn request</p><p>CheckHornLightServiceRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkHornLightServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>""Horn"" and ""Lights"" buttons are changed to the default state</p><p>A success toast ""Horn activated on &lt;year and model&gt;"" is displayed at the bottom of the screen</p>","<p>CheckHornLightServiceRequest request has been resolved into a success</p>","617","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.497Z","Diego Del Aguila","","","25","","Active","Passed","2024-08-21T10:50:10.234Z","","automation-candidate,regression,smoke,update-required","Case (steps)","2025-09-22T14:11:46.240Z","Gemma Diaz Santa Cruz"
"Lights - Fail","","Horn & Lights","","<p>User is on the Home screen</p><p>User has sent a FlashLights request</p><p>CheckHornLightServiceRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkHornLightServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>""Lights"" and ""Horn"" buttons are changed to the default state</p><p>A toast ""Lights failed to activate on &lt;year and model&gt;"" is displayed at the bottom of the screen</p>","<p>CheckHornLightServiceRequest request has been resolved into a failure</p>","1506","No","Android, Prod,Prod, iOS","2023-08-28T20:13:23.214Z","Diego Del Aguila","","","43.2","","Draft","Passed","2024-08-21T10:42:00.455Z","","regression","Case (steps)","2025-04-15T20:36:30.304Z","Mariia Tupchii"
"Horn - Fail","","Horn & Lights","","<p>User is on the Home screen</p><p>User has sent a FlashLightsHorn request</p><p>CheckHornLightServiceRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkHornLightServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>""Horn"" and ""Lights"" buttons are changed to the default state</p><p>A toast ""Horn failed to activate on &lt;year and model&gt;"" is displayed at the bottom of the screen</p>","<p>CheckHornLightServiceRequest request has been resolved into a failure</p>","1507","No","Android, Prod,Prod, iOS","2023-08-28T20:13:23.231Z","Diego Del Aguila","","","35.8","","Draft","Passed","2024-08-21T10:42:13.855Z","","regression","Case (steps)","2025-04-15T20:36:44.058Z","Mariia Tupchii"
"Climate On Button","","Climate","","<p>User has an EV</p>","Critical","<p>The ""Climate On"" button is present in the Telematics row</p>","<p>User is in the Home screen</p>","618","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.510Z","Diego Del Aguila","","","15","","Active","Passed","2026-01-13T19:47:14.173Z","","androidautomated-nna,automation-candidate,ev,iosautomated-nna,regression,smoke","Case (steps)","2025-09-22T14:31:46.456Z","Gemma Diaz Santa Cruz"
"Climate On - Initiated","","Climate","","<p>User is on the Home screen</p><p>""Climate On"" and ""Climate Off"" buttons are present in the Telematics row</p>","Critical","<p><code>StartClimate</code> API and <code>CheckRemoteClimateRequest</code> API are triggered</p><p>User should see the ""Climate On"" button is changed to a spinner and the ""Climate Off"" button is changed to a disabled state</p><p>Climate card secondary text is replaced with 3 dots (...)<br /><br />User should see the following toast messages:</p><ul><li>Contacting &lt;year and model&gt; to turn on climate...</li><li>Waking &lt;year and model&gt; to turn on climate...</li><li>Initiating climate on for &lt;year and model&gt;...</li></ul>","<p>User taps the ""Climate On"" button</p>","619","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.521Z","Diego Del Aguila","","","91.333","","Active","Passed","2026-01-13T19:47:14.173Z","","automation-candidate,ev,general-sweep,regression,smoke","Case (steps)","2025-09-22T14:32:09.817Z","Gemma Diaz Santa Cruz"
"Climate On - Success","","Climate","","<p>User is on the Home screen</p><p>User has sent a StartClimate request</p><p>CheckRemoteClimateRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkRemoteClimateRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p><p>VehicleClimateStatus API:<br /><code> {</code></p><p><code>  ""data"": {</code></p><p><code>    ""vehicle"": {</code></p><p><code>      ""__typename"": ""ElectricVehicle"",</code></p><p><code>      ""climateStatus"": {</code></p><p><code>        ""__typename"": ""ClimateStatus"",</code></p><p><code>        ""state"": ""ON"",</code></p><p><code>        ""temperature"": {</code></p><p><code>          ""__typename"": ""Temperature"",</code></p><p><code>          ""value"": 70,</code></p><p><code>          ""unit"": ""FAHRENHEIT""</code></p><p><code>        }</code></p><p><code>      }</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Sanity","<p>""Climate On"" and ""Climate Off"" buttons are changed to the default state</p><p>A success toast:</p><ul><li><code>Climate control is on for &lt;year and model&gt;</code>  <strong>ENG</strong></li><li><code>Le contrôle de la climatisation est activé pour le &lt;year and model&gt;</code> <strong>FR</strong></li></ul><p>is displayed at the bottom of the screen</p><p>""Climate"" card title is changed to:</p><ul><li><code>Climate On</code></li><li><code>Climatisation activé</code></li></ul><p>""Climate"" card subtitle is changed to:</p><ul><li><code>Setting to $temp</code></li><li><code>Réglage sur $temp</code></li></ul>","<p>Climate On request has been resolved into a success</p>","620","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.534Z","Diego Del Aguila","","","131.75","","Active","Passed","2026-01-13T19:47:14.173Z","","automation-candidate,ev,regression,smoke,vehicle-confirmation","Case (steps)","2025-10-09T21:57:40.629Z","Diego Del Aguila"
"Climate On - Fail","","Climate","","<p>User is on the Home screen</p><p>User has sent a StartClimate request</p>","Sanity","<p>User should see a toast ""&lt;year and model&gt; failed to turn on climate""<br /><br />""Climate On"" and ""Climate Off"" buttons are returned to the default state<br /><br />User should see the ""Climate"" card with the secondary text ""Off - Interior Temp &lt;temperature&gt;""</p>
<p>User should see a toast ""&lt;year and model&gt; failed to turn on climate""<br /><br />""Climate On"" and ""Climate Off"" buttons are returned to the default state<br /><br />User should see the ""Climate"" card with the secondary text ""Off - Interior Temp &lt;temperature&gt;""</p>","<p>Climate on request has resolved into a failure</p><p>CheckRemoteClimateRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkRemoteClimateRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>
<p>Climate on request has resolved into a failure</p><p>CheckRemoteClimateRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkRemoteClimateRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p><p>VehicleClimateStatus API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""vehicle"": {</code></p><p><code>      ""__typename"": ""ElectricVehicle"",</code></p><p><code>      ""climateStatus"": {</code></p><p><code>        ""__typename"": ""ClimateStatus"",</code></p><p><code>        ""state"": ""OFF"",</code></p><p><code>        ""temperature"": {</code></p><p><code>          ""__typename"": ""Temperature"",</code></p><p><code>          ""value"": 70,</code></p><p><code>          ""unit"": ""FAHRENHEIT""</code></p><p><code>        }</code></p><p><code>      }</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","621","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.547Z","Diego Del Aguila","","","118.056","","Active","Passed","2024-09-12T15:08:24.913Z","","ev,regression,smoke,vehicle-confirmation","Case (steps)","2025-04-15T20:38:22.345Z","Mariia Tupchii"
"Climate Off Button","","Climate","","<p>User has an EV</p>","Medium","<p>The ""Climate Off"" button is present in the Telematics row</p>","<p>User is in the Home screen</p>","622","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.560Z","Diego Del Aguila","","","11","","Active","Passed","2026-01-13T19:47:14.173Z","","automation-candidate,ev,regression,smoke","Case (steps)","2025-09-22T14:32:55.200Z","Gemma Diaz Santa Cruz"
"Climate Off - Initiated","","Climate","","<p>User is on the Home screen</p><p>""Climate On"" and ""Climate Off"" buttons are present in the Telematics row</p><p>Climate is turned on</p>","Medium","<p><code>StopClimate</code> API and <code>CheckRemoteClimateRequest</code> API are triggered</p><p>User should see the ""Climate Off"" button is changed to a spinner and the ""Climate On"" button is changed to a disabled state</p><p>Climate card secondary text is replaced with 3 dots (...)<br /><br />User should see the following toast messages:</p><ul><li>Contacting &lt;year and model&gt; to turn off climate...</li><li>Waking &lt;year and model&gt; to turn off climate...</li><li>Initiating climate off for &lt;year and model&gt;...</li></ul>","<p>User taps the ""Climate Off"" button</p>","623","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.575Z","Diego Del Aguila","","","41","","Active","Passed","2026-01-13T19:47:14.173Z","","automation-candidate,ev,regression,smoke","Case (steps)","2025-09-22T14:33:15.077Z","Gemma Diaz Santa Cruz"
"Climate Off - Success","","Climate","","<p>User is on the Home screen</p><p>User has sent a StopClimate request</p><p>CheckRemoteClimateRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkRemoteClimateRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p><p>VehicleClimateStatus API:<br /><code> {</code></p><p><code>  ""data"": {</code></p><p><code>    ""vehicle"": {</code></p><p><code>      ""__typename"": ""ElectricVehicle"",</code></p><p><code>      ""climateStatus"": {</code></p><p><code>        ""__typename"": ""ClimateStatus"",</code></p><p><code>        ""state"": ""OFF"",</code></p><p><code>        ""temperature"": {</code></p><p><code>          ""__typename"": ""Temperature"",</code></p><p><code>          ""value"": 70,</code></p><p><code>          ""unit"": ""FAHRENHEIT""</code></p><p><code>        }</code></p><p><code>      }</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>""Climate On"" and ""Climate Off"" buttons are changed to the default state</p><p>A success toast ""&lt;year and model&gt; climate turned off"" is displayed at the bottom of the screen</p><p>""Climate On"" card is changed to ""Climate"" </p><p>""Climate On"" card secondary text is changed to ""Off - Interior Temp &lt;temperature&gt;""</p>","<p>Climate off request has been resolved into a success</p>","624","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.588Z","Diego Del Aguila","","","21","","Active","Passed","2026-01-13T19:47:14.173Z","","automation-candidate,ev,regression,smoke","Case (steps)","2025-09-22T14:33:35.650Z","Gemma Diaz Santa Cruz"
"Climate Off - Fail","","Climate","","<p>User is on the Home screen</p><p>User has sent a StopClimate request</p>","Medium","<p>User should see a toast ""&lt;year and model&gt; failed to turn off climate""<br /><br />""Climate On"" and ""Climate Off"" buttons are returned to the default state<br /><br />User should see the ""Climate On"" card with the secondary text ""Warming/Cooling to &lt;target temp&gt; depending on what the target temp is compared to the interior temperature""</p>
<p>User should see a toast ""&lt;year and model&gt; failed to turn off climate""<br /><br />""Climate On"" and ""Climate Off"" buttons are returned to the default state</p><p>""Climate On"" card with secondary text is replaced with ""Climate"" card with 3 dots (...) while API is loading<br /><br />User should see the ""Climate On"" card with the secondary text ""Warming/Cooling to &lt;target temp&gt; depending on what the target temp is compared to the interior temperature""</p>","<p>Climate off request has resolved into a failure</p><p>CheckRemoteClimateRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkRemoteClimateRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>
<p>Climate off request has resolved into a failure</p><p>CheckRemoteClimateRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkRemoteClimateRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p><p>VehicleClimateStatus API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""vehicle"": {</code></p><p><code>      ""__typename"": ""ElectricVehicle"",</code></p><p><code>      ""climateStatus"": {</code></p><p><code>        ""__typename"": ""ClimateStatus"",</code></p><p><code>        ""state"": ""ON"",</code></p><p><code>        ""temperature"": {</code></p><p><code>          ""__typename"": ""Temperature"",</code></p><p><code>          ""value"": 70,</code></p><p><code>          ""unit"": ""FAHRENHEIT""</code></p><p><code>        }</code></p><p><code>      }</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","1508","No","Android, Prod,Prod, iOS","2023-08-28T20:13:23.248Z","Diego Del Aguila","","","3","","Draft","Passed","2024-09-12T15:06:46.390Z","","ev,regression","Case (steps)","2025-04-15T20:39:40.825Z","Mariia Tupchii"
"Charge On Button","","Charge","","<p>User has an EV </p><p>User is on the Home screen </p><p>Charge On button is in the Telematics row is in an inactive state (<code>VehicleDynamicData</code> API &gt; <code>""isPluggedIn"": false</code>)</p>","Critical","<p>The modal ""Not Plugged In Please plug your vehicle in order to start charging."" with Ok button is displayed</p>
<p>Modal is dismissed</p>
<p>The Charge On button is changed to an active state</p>","<p>User taps the Charge On button</p>
<p>User taps Ok button on the modal</p>
<p>Mock <code>VehicleDynamicData</code> API &gt; <code>""isPluggedIn"": true</code></p>","625","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.601Z","Diego Del Aguila","","","146.4","","Active","Passed","2026-01-13T20:19:22.459Z","","automation-candidate,ev,regression,smoke","Case (steps)","2025-08-21T19:07:22.384Z","Gemma Diaz Santa Cruz"
